"","NextWord","freq"
"1","the",0.0470851738941081
"2","to",0.0278852734399303
"3","and",0.0248615690910222
"4","a",0.0232812791638151
"5","of",0.0200335967149879
"6","i",0.0153424998444597
"7","in",0.0153300566166864
"8","for",0.0109998133515834
"9","is",0.0107882784794376
"10","that",0.0106887326572513
"11","you",0.0090835562744976
"12","it",0.00871025944129907
"13","on",0.00764014185279662
"14","with",0.00663224040316058
"15","be",0.00602252224226965
"16","at",0.00577365768680396
"17","my",0.00559945249797798
"18","have",0.00551234990356498
"19","was",0.00543769053692528
"20","this",0.00531325825919243
"21","but",0.00503950724818018
"22","he",0.00459155104834194
"23","as",0.00457910782056866
"24","are",0.00456666459279537
"25","not",0.00449200522615566
"26","we",0.00386984383749145
"27","so",0.00380762769862502
"28","by",0.0036707521931189
"29","from",0.00353387668761277
"30","me",0.00352143345983948
"31","they",0.00352143345983948
"32","just",0.00339700118210664
"33","said",0.00323523922105394
"34","his",0.00321035276550737
"35","or",0.00317302308218752
"36","an",0.00312325017109438
"37","up",0.0031108069433211
"38","all",0.00309836371554781
"39","will",0.00309836371554781
"40","your",0.00296148821004168
"41","one",0.00291171529894855
"42","about",0.00288682884340198
"43","out",0.00287438561562869
"44","what",0.00282461270453556
"45","when",0.00268773719902943
"46","who",0.00267529397125614
"47","if",0.00261307783238972
"48","has",0.00256330492129658
"49","like",0.00256330492129658
"50","can",0.00250108878243016
"51","do",0.00248864555465688
"52","get",0.00241398618801717
"53","it's",0.00233932682137747
"54","would",0.00233932682137747
"55","time",0.00232688359360418
"56","their",0.00221489454364462
"57","there",0.00216512163255148
"58","had",0.00212779194923163
"59","more",0.00212779194923163
"60","some",0.00209046226591178
"61","i'm",0.00202824612704536
"62","were",0.00192870030485908
"63","how",0.0019162570770858
"64","new",0.00187892739376594
"65","been",0.00186648416599266
"66","them",0.00184159771044609
"67","good",0.00182915448267281
"68","go",0.0017544951160331
"69","her",0.0017544951160331
"70","she",0.00174205188825981
"71","our",0.00172960866048653
"72","know",0.00171716543271325
"73","now",0.00170472220493996
"74","don't",0.00167983574939339
"75","love",0.00165494929384682
"76","no",0.00165494929384682
"77","day",0.0015927331549804
"78","people",0.0015180737883407
"79","see",0.00148074410502084
"80","then",0.0014309711939277
"81","also",0.00141852796615442
"82","us",0.00141852796615442
"83","year",0.00141852796615442
"84","well",0.00139364151060785
"85","which",0.00139364151060785
"86","back",0.00138119828283457
"87","after",0.00136875505506128
"88","first",0.00136875505506128
"89","make",0.00133142537174143
"90","today",0.00133142537174143
"91","other",0.00131898214396815
"92","its",0.00130653891619486
"93","could",0.00129409568842158
"94","great",0.00129409568842158
"95","over",0.00128165246064829
"96","going",0.00126920923287501
"97","him",0.00126920923287501
"98","want",0.00125676600510172
"99","last",0.00124432277732844
"100","than",0.00124432277732844
"101","much",0.00123187954955515
"102","only",0.00123187954955515
"103","work",0.0011945498662353
"104","got",0.00118210663846202
"105","really",0.00118210663846202
"106","into",0.00115722018291545
"107","two",0.00115722018291545
"108","where",0.00114477695514216
"109","did",0.00110744727182231
"110","off",0.00110744727182231
"111","because",0.00109500404404903
"112","most",0.00109500404404903
"113","too",0.00108256081627574
"114","take",0.00105767436072917
"115","way",0.00105767436072917
"116","any",0.00104523113295589
"117","still",0.000995458221862751
"118","those",0.000983014994089467
"119","always",0.000945685310769614
"120","come",0.000945685310769614
"121","even",0.000945685310769614
"122","best",0.000933242082996329
"123","can't",0.000933242082996329
"124","right",0.000933242082996329
"125","big",0.000920798855223045
"126","here",0.000920798855223045
"127","life",0.000920798855223045
"128","years",0.000920798855223045
"129","should",0.00090835562744976
"130","think",0.000895912399676476
"131","before",0.000883469171903192
"132","am",0.000871025944129907
"133","being",0.000871025944129907
"134","many",0.000871025944129907
"135","need",0.000871025944129907
"136","say",0.000871025944129907
"137","these",0.000846139488583338
"138","long",0.00082125303303677
"139","made",0.00082125303303677
"140","why",0.00082125303303677
"141","help",0.000796366577490201
"142","little",0.000796366577490201
"143","u",0.000796366577490201
"144","very",0.000783923349716917
"145","next",0.000759036894170348
"146","rt",0.000759036894170348
"147","while",0.000759036894170348
"148","that's",0.000746593666397063
"149","better",0.000734150438623779
"150","home",0.000734150438623779
"151","lol",0.000734150438623779
"152","thanks",0.000734150438623779
"153","another",0.000721707210850495
"154","may",0.00070926398307721
"155","never",0.00070926398307721
"156","game",0.000696820755303926
"157","something",0.000696820755303926
"158","state",0.000696820755303926
"159","things",0.000696820755303926
"160","week",0.000696820755303926
"161","down",0.000684377527530641
"162","ever",0.000671934299757357
"163","school",0.000671934299757357
"164","didn't",0.000659491071984073
"165","few",0.000659491071984073
"166","show",0.000659491071984073
"167","through",0.000659491071984073
"168","thing",0.000647047844210788
"169","use",0.000647047844210788
"170","look",0.000634604616437504
"171","old",0.000634604616437504
"172","such",0.000634604616437504
"173","every",0.000622161388664219
"174","since",0.000622161388664219
"175","you're",0.000622161388664219
"176","night",0.000609718160890935
"177","world",0.000597274933117651
"178","around",0.000584831705344366
"179","getting",0.000584831705344366
"180","told",0.000584831705344366
"181","again",0.000572388477571082
"182","city",0.000572388477571082
"183","does",0.000572388477571082
"184","family",0.000559945249797798
"185","sure",0.000559945249797798
"186","though",0.000559945249797798
"187","thought",0.000559945249797798
"188","doing",0.000547502022024513
"189","god",0.000547502022024513
"190","happy",0.000547502022024513
"191","hope",0.000547502022024513
"192","let",0.000547502022024513
"193","three",0.000547502022024513
"194","try",0.000547502022024513
"195","follow",0.000535058794251229
"196","house",0.000535058794251229
"197","left",0.000535058794251229
